econ_lane,matched_terms,econ_score,article_key,title,source,published_at,uid,first_seen_digest,last_seen_digest,observation_count,first_feed_topic,first_window_type,first_source_file
external,dolar | exportaciones,7,content:2fe4ecde561442e071bbbf61de47baa4a9771c36,"Claves de la economía argentina: exportaciones, dólar y lo que viene con Federico Sturzenegger",TV Pública,2026-04-23 17:17:00+00:00,,2026-04-23 17:00:00+00:00,2026-04-24 00:00:00+00:00,3,All Topics,1h,data/output_digests/headlines_1h_window_20260423T17_All_Topics_01.md
debt,deuda | dolar | inflacion,9,content:f4bb8c37e975176561be07ff2331541a1586b6be,"Inflación, deuda y dólar: el triángulo de riesgo que acecha a la economía argentina",LM Neuquén,2026-04-19 11:17:00+00:00,,2026-04-19 11:00:00+00:00,2026-04-21 12:00:00+00:00,6,All Topics,1h,data/output_digests/headlines_1h_window_20260419T11_All_Topics_01.md
reserves,bcra | dolar | inflacion,9,content:87f250bedfa227b1435759a0c82e58bccb725f43,El dólar rebota y corta la baja tras compras del BCRA y el impacto de la inflación de marzo,economis.com.ar,2026-04-15 00:11:00+00:00,,2026-04-15 00:00:00+00:00,2026-04-15 08:00:00+00:00,3,All Topics,1h,data/output_digests/headlines_1h_window_20260415T00_All_Topics_01.md
reserves,bcra | dolar | inflacion,9,content:eeb79cda242aed6df8b1255e45a99f36aa24dbc0,"El dólar interrumpió la racha de bajas, sostenido por las compras del BCRA y el dato de inflación de marzo",Infobae,2026-04-14 19:51:00+00:00,,2026-04-15 00:00:00+00:00,2026-04-15 12:00:00+00:00,3,All Topics,4h,data/output_digests/headlines_4h_window_20260415T00_All_Topics_05.md
reserves,banco central | dolar | inflacion,9,content:cde51735c05b54a3744d378dd25cbb95f3657475,Inflación y dólar en 2026: proyecciones de las consultoras que releva el Banco Central,Perfil,2026-04-08 22:29:00+00:00,,2026-04-09 04:00:00+00:00,2026-04-09 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260409T04_All_Topics_04.md
debt,banco central | dolar | riesgo pais,9,content:0f01e7b114514c0da1323865ab7a9193bb3898ca,"Dólar tranquilo, leve baja del riesgo país y compra de dólares por el Banco Central",Perfil,2026-04-07 15:15:00+00:00,,2026-04-07 15:00:00+00:00,2026-04-07 20:00:00+00:00,2,All Topics,1h,data/output_digests/headlines_1h_window_20260407T15_All_Topics_01.md
reserves,banco central | inflacion,7,content:9830fcbb694715926ffb84164c5c7af0cec91626,"“Argentina se encamina hacia el crecimiento sostenible, un Banco Central sólido e inflación bajísima”",Agrositio,2026-03-31 21:03:00+00:00,,2026-04-02 12:00:00+00:00,2026-04-02 12:00:00+00:00,1,All Topics,2day,data/output_digests/headlines_2day_window_20260402T12_All_Topics_03.md
reserves,bcra | dolar,7,content:ad76ef91c5f717f8ef7bd956a285c6a974dd5539,El BCRA baja encajes: cómo impactará en el dólar en abril - Diario El Norte,Diario El Norte - San Nicolás,2026-03-31 20:03:00+00:00,,2026-04-01 00:00:00+00:00,2026-04-01 04:00:00+00:00,2,All Topics,4h,data/output_digests/headlines_4h_window_20260401T00_All_Topics_06.md
reserves,bcra | dolar,7,content:534ccf94986e6d06cb0ee73c0d1e219220aeb539,El BCRA baja encajes: cómo impactará en el dólar en abril,diarioelnorte.com.ar,2026-03-31 20:03:00+00:00,,2026-03-31 20:00:00+00:00,2026-03-31 20:00:00+00:00,1,All Topics,1h,data/output_digests/headlines_1h_window_20260331T20_All_Topics_01.md
debt,banco central | riesgo pais,7,content:e3f91ceda9a8bc40718520fc3292583147a43461,"El Banco Central compró US$200 millones, pero el riesgo país subió y tocó máximos desde diciembre",La Nación,2026-03-30 21:05:00+00:00,,2026-03-30 21:00:00+00:00,2026-03-31 08:00:00+00:00,4,All Topics,1h,data/output_digests/headlines_1h_window_20260330T21_All_Topics_01.md
