indice_tiempo,74.3_ISC_0_M_19
1992-01-01,-177.14803299999994
1992-02-01,-62.290843
1992-03-01,-85.68914700000005
1992-04-01,-187.99070500000005
1992-05-01,26.81975699999998
1992-06-01,-91.63334199999986
1992-07-01,-264.24777199999994
1992-08-01,-353.047083
1992-09-01,-403.54487
1992-10-01,-564.766498
1992-11-01,-241.14559000000008
1992-12-01,-232.1212970000001
1993-01-01,-136.64050799999995
1993-02-01,12.699194000000034
1993-03-01,-247.895806
1993-04-01,-128.17846200000008
1993-05-01,-32.609241999999995
1993-06-01,-132.30418699999996
1993-07-01,-397.6836329999999
1993-08-01,-455.58149100000014
1993-09-01,-372.0267549999999
1993-10-01,-478.605354
1993-11-01,-742.2656890000001
1993-12-01,-554.6630540000001
1994-01-01,-614.870448
1994-02-01,-521.208561
1994-03-01,-723.213139
1994-04-01,-529.9964299999999
1994-05-01,-142.7758570000001
1994-06-01,-377.3327310000002
1994-07-01,-345.91594800000007
1994-08-01,-633.184868
1994-09-01,-409.2523429999999
1994-10-01,-484.8118849999999
1994-11-01,-470.973659
1994-12-01,-497.506054
1995-01-01,-376.017803
1995-02-01,-237.367483
1995-03-01,-88.80853400000001
1995-04-01,411.8879320000001
1995-05-01,548.6271039999999
1995-06-01,576.2485160000001
1995-07-01,323.6674499999999
1995-08-01,22.89555200000018
1995-09-01,9.92135600000006
1995-10-01,-174.96345799999995
1995-11-01,-244.267521
1995-12-01,69.60253499999999
1996-01-01,-232.86606699999996
1996-02-01,-102.26685999999997
1996-03-01,87.3975069999999
1996-04-01,200.3152540000001
1996-05-01,470.1776840000002
1996-06-01,209.5538190000002
1996-07-01,-65.8019360000003
1996-08-01,-37.457884999999806
1996-09-01,-37.60911800000008
1996-10-01,-220.316996
1996-11-01,-180.411881
1996-12-01,-41.80544000000009
1997-01-01,-438.6032310000001
1997-02-01,-142.2377019999999
1997-03-01,-138.37974000000008
1997-04-01,-108.8004350000001
1997-05-01,19.09082699999999
1997-06-01,-181.5642990000001
1997-07-01,-375.835736
1997-08-01,-337.7207880000001
1997-09-01,-490.26682900000014
1997-10-01,-462.21524
1997-11-01,-777.0423179999998
1997-12-01,-585.7539479999998
1998-01-01,-791.1553859999999
1998-02-01,-399.3790320000003
1998-03-01,-454.449869
1998-04-01,-249.601674
1998-05-01,-53.991172000000006
1998-06-01,-198.64794900000012
1998-07-01,-665.169265
1998-08-01,-373.205719
1998-09-01,-363.00043700000015
1998-10-01,-575.7472350000003
1998-11-01,-572.0942
1998-12-01,-247.21993899999984
1999-01-01,-362.79088
1999-02-01,-331.76704700000005
1999-03-01,-80.53519699999993
1999-04-01,160.973524
1999-05-01,289.181564
1999-06-01,-82.98607700000002
1999-07-01,-337.1846079999998
1999-08-01,-231.8654059999999
1999-09-01,-336.29866300000003
1999-10-01,-312.1624160000001
1999-11-01,-324.6119469999999
1999-12-01,-249.4754800000001
2000-01-01,-83.94909800000005
2000-02-01,-124.43906399999992
2000-03-01,44.33147999999983
2000-04-01,418.9812840000002
2000-05-01,385.21386200000006
2000-06-01,212.4682220000004
2000-07-01,162.51540599999998
2000-08-01,-103.23752000000012
2000-09-01,74.27720399999998
2000-10-01,-179.824122
2000-11-01,-37.68143199999986
2000-12-01,291.88754900000004
2001-01-01,87.24708600000008
2001-02-01,89.49298799999997
2001-03-01,-11.452060999999958
2001-04-01,474.0805260000002
2001-05-01,486.585063
2001-06-01,767.602279
2001-07-01,583.6818620000001
2001-08-01,687.745613
2001-09-01,760.781749
2001-10-01,538.649271
2001-11-01,736.5691850000001
2001-12-01,1022.163593
2002-01-01,967.241856
2002-02-01,1154.174019
2002-03-01,1519.507958
2002-04-01,1569.683799
2002-05-01,1507.701416
2002-06-01,1543.7105330000002
2002-07-01,1433.484998
2002-08-01,1414.755428
2002-09-01,1577.616184
2002-10-01,1382.1906909999998
2002-11-01,1351.533168
2002-12-01,1239.453308
2003-01-01,1395.6350020000002
2003-02-01,1351.4508629999998
2003-03-01,1318.4693619999998
2003-04-01,1348.8712729999995
2003-05-01,2037.896644
2003-06-01,1725.221776
2003-07-01,1575.778834
2003-08-01,1211.827884
2003-09-01,1050.285763
2003-10-01,1001.5950920000002
2003-11-01,1117.505102
2003-12-01,953.440884
2004-01-01,713.875612
2004-02-01,1031.303708
2004-03-01,967.51558
2004-04-01,1388.870995
2004-05-01,1602.2384330000002
2004-06-01,911.355236
2004-07-01,1064.460643
2004-08-01,913.324185
2004-09-01,976.715799
