indice_tiempo,116.3_TCRMA_0_M_36
1997-01-01,85.38366489864862
1997-02-01,84.04174750816527
1997-03-01,83.80170156110832
1997-04-01,84.0586826543346
1997-05-01,84.52628755586154
1997-06-01,84.29103272165234
1997-07-01,83.38503596216027
1997-08-01,82.44364845318655
1997-09-01,83.02111588942215
1997-10-01,83.47333588879003
1997-11-01,83.67029878216184
1997-12-01,82.90654626087002
1998-01-01,81.94455001253604
1998-02-01,81.85960944359333
1998-03-01,81.3077788775296
1998-04-01,81.74843965078522
1998-05-01,82.24047784822127
1998-06-01,81.76816490071377
1998-07-01,81.3366246875338
1998-08-01,80.93723967589627
1998-09-01,81.94624052555993
1998-10-01,83.0850302399694
1998-11-01,82.69051625098619
1998-12-01,82.81550453487247
1999-01-01,78.25550466793842
1999-02-01,70.30676581047602
1999-03-01,70.86733210709703
1999-04-01,73.69276884769353
1999-05-01,74.45373227119399
1999-06-01,73.18616306102258
1999-07-01,72.33608341331548
1999-08-01,72.31777198670804
1999-09-01,72.55216842713783
1999-10-01,72.47347942191176
1999-11-01,72.30459997050183
1999-12-01,72.80366360167304
2000-01-01,73.55344931550927
2000-02-01,73.33287268208568
2000-03-01,73.68412009993806
2000-04-01,73.63499974541578
2000-05-01,72.68590212893501
2000-06-01,73.77100579344857
2000-07-01,73.57939998992276
2000-08-01,73.24604218562366
2000-09-01,72.4061375374548
2000-10-01,71.71639023791434
2000-11-01,70.96597410563464
2000-12-01,72.06876455272341
2001-01-01,73.36917942798442
2001-02-01,72.75062649440113
2001-03-01,72.28919360852173
2001-04-01,70.04053256253162
2001-05-01,69.38151213668019
2001-06-01,68.09658449186118
2001-07-01,67.91457903624178
2001-08-01,68.52201260153878
2001-09-01,67.50046221027432
2001-10-01,66.45850169339631
2001-11-01,68.10015906809515
2001-12-01,69.21320254505919
2002-01-01,109.99825080751174
2002-02-01,134.3128200670432
2002-03-01,163.99912280245914
2002-04-01,182.8022188036262
2002-05-01,191.19498607465647
2002-06-01,198.84868574319867
2002-07-01,187.74231526084813
2002-08-01,179.1338365907855
2002-09-01,174.03119380604304
2002-10-01,167.43030292563623
2002-11-01,165.94214736088352
2002-12-01,165.31993223363332
2003-01-01,158.16523249195936
2003-02-01,151.88978490388718
2003-03-01,149.2548135224901
2003-04-01,145.64274460781058
2003-05-01,148.78971603779308
2003-06-01,149.13524844798928
2003-07-01,147.42016511485244
2003-08-01,151.2234074390864
2003-09-01,153.28210600829783
2003-10-01,152.7421222547647
2003-11-01,153.65815586564085
2003-12-01,159.82720880313192
2004-01-01,159.60284738331177
2004-02-01,160.33460457452367
2004-03-01,157.19702806619557
2004-04-01,152.1854631406955
2004-05-01,152.54144042990887
2004-06-01,154.3482919296342
2004-07-01,155.77464092854285
2004-08-01,159.4049116301634
2004-09-01,160.29208546981218
2004-10-01,160.41649621964527
2004-11-01,162.89251816820297
2004-12-01,166.92882346533932
2005-01-01,164.01406528722904
2005-02-01,162.79024909068374
2005-03-01,159.96582727947958
2005-04-01,159.6903974133597
2005-05-01,161.1519701799993
2005-06-01,159.05684742993202
2005-07-01,157.88172079127756
2005-08-01,160.0270786394036
2005-09-01,162.33141247195337
2005-10-01,164.5071058404589
2005-11-01,163.579974278657
2005-12-01,163.5214165188537
2006-01-01,164.93609877719072
2006-02-01,167.81845574641557
2006-03-01,167.68493051474306
2006-04-01,167.25943636187134
2006-05-01,166.47005492714612
2006-06-01,164.32949211740882
2006-07-01,165.70861372345584
2006-08-01,166.25181793880662
2006-09-01,165.89999110969424
2006-10-01,164.771118344616
2006-11-01,163.15132189672815
2006-12-01,162.7475086152625
2007-01-01,162.30224209682197
2007-02-01,163.7537038294579
2007-03-01,163.72111782407003
2007-04-01,163.7623406947476
2007-05-01,162.06739952384697
2007-06-01,159.99890310797758
2007-07-01,160.71034383857682
2007-08-01,156.5626310280913
2007-09-01,155.41269399862912
2007-10-01,158.29431563213407
2007-11-01,159.23307245755672
2007-12-01,159.1101801141989
2008-01-01,159.27340420776062
2008-02-01,159.44734015322967
2008-03-01,159.14295097367912
2008-04-01,156.14403497190108
2008-05-01,153.6565148730458
2008-06-01,148.50959524331455
2008-07-01,146.9897328437139
2008-08-01,143.61354033181348
2008-09-01,137.3532236800913
2008-10-01,128.22641161402126
2008-11-01,127.53745205892336
2008-12-01,129.13233580137458
2009-01-01,131.1838530545797
2009-02-01,131.35500936623166
2009-03-01,135.84940317462838
2009-04-01,137.7460081015192
2009-05-01,142.54750068237897
2009-06-01,147.68972909573984
2009-07-01,149.16630711430244
2009-08-01,151.6934559556332
2009-09-01,151.14923280633005
2009-10-01,151.55156036893976
2009-11-01,150.45908549061943
2009-12-01,146.27906686610976
2010-01-01,141.43127423592085
2010-02-01,135.747241117961
2010-03-01,133.74127768683007
2010-04-01,132.61786781597624
2010-05-01,128.2050296233272
2010-06-01,126.60627747499036
2010-07-01,127.96275138767186
2010-08-01,127.7242665091054
2010-09-01,128.7056969824711
2010-10-01,129.49340864146714
2010-11-01,126.01228875825714
2010-12-01,124.50316957888204
2011-01-01,124.61287436342766
2011-02-01,126.45368647994792
2011-03-01,126.52727769508638
2011-04-01,128.2284041231017
2011-05-01,125.8459767931324
2011-06-01,125.29492273661184
2011-07-01,125.57308500163256
2011-08-01,123.52060133047068
2011-09-01,116.65557747668144
2011-10-01,114.09466059821912
2011-11-01,113.08228879978388
2011-12-01,110.41459248656372
2012-01-01,111.10280371543446
2012-02-01,113.8107071647216
